charge,casno,state,config
0,22,1,1
0,50000,1,1
0,56235,1,1
0,56406,1,1
0,56417,1,1
0,56815,1,1
0,57136,1,1
0,57556,1,1
0,57578,1,1
0,60297,1,1
0,60355,1,1
0,62533,1,1
0,62566,1,1
0,64175,1,1
0,64186,1,1
0,64197,1,1
0,67561,1,1
0,67630,1,1
0,67641,1,1
0,67663,1,1
0,67685,1,1
0,67710,1,1
0,70291,1,1
0,71238,1,1
0,71363,1,1
0,71410,1,1
0,71432,1,1
0,71556,1,1
0,74828,1,1
0,74839,1,1
0,74840,1,1
0,74851,1,1
0,74862,1,1
0,74873,1,1
0,74895,1,1
0,74908,1,1
0,74931,1,1
0,74953,1,1
0,74964,1,1
0,74986,1,1
0,74997,1,1
0,75003,1,1
0,75014,1,1
0,75025,1,1
0,75047,1,1
0,75058,1,1
0,75070,1,1
0,75081,1,1
0,75092,1,1
0,75105,1,1
0,75127,1,1
0,75138,1,1
0,75150,1,1
0,75183,1,1
0,75194,1,1
0,75218,1,1
0,75252,1,1
0,75285,1,1
0,75296,1,1
0,75310,1,1
0,75332,1,1
0,75343,1,1
0,75354,1,1
0,75365,1,1
0,75376,1,1
0,75387,1,1
0,75445,1,1
0,75467,1,1
0,75503,1,1
0,75525,1,1
0,75569,1,1
0,75649,1,1
0,75650,1,1
0,75661,1,1
0,75694,1,1
0,75718,1,1
0,75729,1,1
0,75730,1,1
0,75832,1,1
0,76164,1,1
0,78784,1,1
0,78795,1,1
0,78808,1,1
0,78819,1,1
0,78820,1,1
0,78831,1,1
0,78842,1,1
0,78864,1,1
0,78875,1,1
0,78900,1,1
0,78933,1,1
0,79005,1,1
0,79016,1,1
0,79050,1,1
0,79061,1,1
0,79107,1,1
0,79196,1,1
0,79209,1,1
0,79298,1,1
0,79390,1,1
0,79403,1,1
0,91203,1,1
0,96140,1,1
0,96184,1,1
0,96220,1,1
0,96311,1,1
0,96333,1,1
0,96377,1,1
0,96413,1,1
0,96480,1,1
0,96548,1,1
0,98953,1,1
0,100414,1,1
0,100425,1,1
0,100527,1,1
0,100663,1,1
0,106898,1,1
0,106978,1,1
0,106989,1,1
0,106990,1,1
0,107006,1,1
0,107028,1,1
0,107039,1,1
0,107062,1,1
0,107108,1,1
0,107131,1,1
0,107153,1,1
0,107186,1,1
0,107211,1,1
0,107222,1,1
0,107299,1,1
0,107313,1,1
0,107835,1,1
0,107879,1,1
0,107880,1,1
0,107959,1,1
0,107971,1,1
0,108883,1,1
0,108907,1,1
0,108952,1,1
0,109660,1,1
0,109693,1,1
0,109739,1,1
0,109740,1,1
0,109773,1,1
0,109808,1,1
0,109875,1,1
0,109922,1,1
0,109933,1,1
0,109944,1,1
0,109977,1,1
0,109999,1,1
0,110009,1,1
0,110010,1,1
0,110021,1,1
0,110543,1,1
0,110565,1,1
0,110598,1,1
0,110612,1,1
0,110634,1,1
0,110667,1,1
0,110714,1,1
0,110827,1,1
0,110838,1,1
0,110861,1,1
0,110872,1,1
0,110883,1,1
0,110894,1,1
0,115071,1,1
0,115106,1,1
0,115117,1,1
0,116110,1,1
0,116143,1,1
0,120923,1,1
0,123386,1,1
0,123513,1,1
0,123728,1,1
0,123751,1,1
0,123911,1,1
0,124389,1,1
0,124403,1,1
0,127184,1,1
0,137326,1,1
0,141786,1,1
0,142290,1,1
0,142687,1,1
0,151188,1,1
0,151564,1,1
0,156592,1,1
0,156605,1,1
0,157335,1,1
0,157404,1,1
0,185944,1,1
0,277101,1,1
0,281232,1,1
0,285585,1,1
0,287230,1,1
0,287274,1,1
0,287923,1,1
0,288131,1,1
0,288142,1,1
0,288324,1,1
0,288426,1,1
0,288880,1,1
0,288948,1,1
0,289805,1,1
0,289952,1,1
0,290379,1,1
0,290879,1,1
0,302012,1,1
0,352932,1,1
0,353504,1,1
0,353855,1,1
0,420122,1,1
0,420462,1,1
0,431038,1,1
0,460128,1,1
0,460195,1,1
0,462066,1,1
0,463490,1,1
0,463514,1,1
0,463581,1,1
0,463821,1,1
0,471465,1,1
0,471476,1,1
0,497201,1,1
0,497267,1,1
0,503173,1,1
0,503300,1,1
0,504632,1,1
0,504643,1,1
0,505226,1,1
0,506683,1,1
0,506774,1,1
0,507200,1,1
0,513359,1,1
0,513440,1,1
0,513531,1,1
0,534156,1,1
0,540545,1,1
0,540636,1,1
0,540670,1,1
0,541311,1,1
0,541355,1,1
0,541413,1,1
0,541424,1,1
0,542927,1,1
0,543599,1,1
0,543679,1,1
0,554143,1,1
0,557175,1,1
0,557993,1,1
0,558134,1,1
0,563462,1,1
0,563520,1,1
0,563780,1,1
0,563791,1,1
0,563804,1,1
0,563837,1,1
0,590181,1,1
0,590192,1,1
0,591935,1,1
0,591957,1,1
0,591968,1,1
0,591979,1,1
0,592416,1,1
0,592427,1,1
0,592574,1,1
0,593533,1,1
0,593544,1,1
0,594207,1,1
0,594434,1,1
0,598254,1,1
0,598505,1,1
0,598538,1,1
0,598583,1,1
0,598754,1,1
0,598947,1,1
0,616126,1,1
0,616217,1,1
0,616422,1,1
0,616444,1,1
0,616455,1,1
0,624646,1,1
0,624895,1,1
0,624919,1,1
0,624920,1,1
0,625525,1,1
0,625581,1,1
0,625605,1,1
0,627203,1,1
0,627269,1,1
0,627510,1,1
0,628284,1,1
0,628295,1,1
0,628320,1,1
0,628342,1,1
0,628411,1,1
0,629209,1,1
0,630080,1,1
0,630182,1,1
0,646048,1,1
0,646060,1,1
0,674828,1,1
0,689974,1,1
0,693027,1,1
0,693867,1,1
0,693890,1,1
0,693958,1,1
0,693981,1,1
0,694019,1,1
0,694053,1,1
0,760214,1,1
0,764352,1,1
0,764421,1,1
0,765300,1,1
0,765435,1,1
0,811938,1,1
0,821078,1,1
0,822355,1,1
0,822388,1,1
0,822413,1,1
0,865361,1,1
0,917920,1,1
0,922623,1,1
0,922690,1,1
0,927731,1,1
0,928494,1,1
0,930267,1,1
0,992949,1,1
0,1003038,1,1
0,1003049,1,1
0,1003107,1,1
0,1071983,1,1
0,1072431,1,1
0,1115157,1,1
0,1120565,1,1
0,1120598,1,1
0,1120623,1,1
0,1120645,1,1
0,1190223,1,1
0,1190767,1,1
0,1191088,1,1
0,1191953,1,1
0,1191997,1,1
0,1304569,1,1
0,1305788,1,1
0,1309484,1,1
0,1310538,1,1
0,1310663,1,1
0,1310732,1,1
0,1317380,1,1
0,1333740,1,1
1,1333740,1,1
0,1487156,1,1
0,1495507,1,1
0,1551219,1,1
0,1574409,1,1
0,1574410,1,1
0,1590870,1,1
0,1605727,1,1
0,1605738,1,1
0,1613510,1,1
0,1615754,1,1
0,1630940,1,1
0,1634044,1,1
0,1679078,1,1
0,1679089,1,1
0,1679090,1,1
0,1708323,1,1
0,1738369,1,1
0,1759815,1,1
0,1795091,1,1
0,1878188,1,1
0,1981802,1,1
0,2004695,1,1
0,2004708,1,1
0,2025550,1,1
0,2025561,1,1
0,2053294,1,1
0,2074875,1,1
0,2084186,1,1
0,2122487,1,1
0,2143615,1,1
0,2143682,1,1
0,2154509,1,1
0,2154565,1,1
0,2154598,1,1
0,2211678,1,1
0,2211703,1,1
0,2229074,1,1
0,2231574,1,1
0,2264213,1,1
0,2314489,1,1
0,2348552,1,1
0,2396012,1,1
0,2465567,1,1
0,2465567,2,1
0,2516349,1,1
0,2551624,1,1
0,2597435,1,1
0,2597446,1,1
0,2612466,1,1
0,2669898,1,1
0,2696926,1,1
0,2781853,1,1
0,2809690,1,1
0,2873509,1,1
0,2919235,1,1
0,2932787,1,1
0,2944050,1,1
0,3031730,1,1
0,3031752,1,1
0,3100047,1,1
0,3170692,1,1
0,3170807,1,1
0,3170830,1,1
0,3315375,1,1
1,3315375,1,1
0,3352576,1,1
1,3352576,1,1
0,3710847,1,1
0,3744078,1,1
0,3889756,1,1
0,3889767,1,1
0,4028562,1,1
0,4076362,1,1
0,4109960,1,1
0,4110503,1,1
0,4164287,1,1
0,4170303,1,1
0,4348350,1,1
0,4418615,1,1
0,4426113,1,1
0,4426486,1,1
0,4628211,1,1
0,4630459,1,1
0,4740005,1,1
0,4806615,1,1
0,4894615,1,1
0,5009278,1,1
0,5145993,1,1
0,5164352,1,1
0,5194503,1,1
0,5194514,1,1
0,5296628,1,1
0,5500210,1,1
0,5765446,1,1
0,6004440,1,1
0,6032297,1,1
0,6108618,1,1
0,6142730,1,1
0,6163640,1,1
0,6569513,1,1
0,6746947,1,1
0,6829523,1,1
0,6851930,1,1
0,6914074,1,1
0,6921353,1,1
0,7175759,1,1
0,7285327,1,1
0,7318674,1,1
0,7319008,1,1
0,7429905,1,1
0,7439932,1,1
0,7439954,1,1
0,7440019,1,1
0,7440097,1,1
0,7440213,1,1
0,7440235,1,1
0,7440326,1,1
0,7440371,1,1
0,7440417,1,1
0,7440428,1,1
0,7440440,1,1
0,7440508,1,1
0,7440564,1,1
0,7440597,1,1
0,7440666,1,1
0,7440702,1,1
0,7446095,1,1
0,7446119,1,1
0,7446700,1,1
0,7447418,1,1
0,7553562,1,1
0,7572294,1,1
0,7580678,1,1
0,7611861,1,1
0,7611872,1,1
0,7616946,1,1
0,7631869,1,1
0,7637072,1,1
0,7646697,1,1
0,7647010,1,1
0,7647145,1,1
0,7647190,1,1
0,7664393,1,1
0,7664417,1,1
0,7664939,1,1
0,7681494,1,1
0,7693278,1,1
0,7697372,1,1
0,7698057,1,1
0,7704349,1,1
0,7719122,1,1
0,7722841,1,1
0,7723140,1,1
0,7726956,1,1
0,7727379,1,1
0,7732185,1,1
0,7758896,1,1
0,7782390,1,1
0,7782414,1,1
0,7782447,1,1
0,7782492,1,1
0,7782505,1,1
0,7782776,1,1
0,7782798,1,1
0,7783064,1,1
0,7783406,1,1
0,7783417,1,1
0,7783542,1,1
0,7783553,1,1
0,7783586,1,1
0,7783600,1,1
0,7783611,1,1
0,7784181,1,1
0,7784216,1,1
0,7784421,1,1
0,7786303,1,1
0,7787475,1,1
0,7787497,1,1
0,7787522,1,1
0,7787715,1,1
0,7789200,1,1
0,7789211,1,1
0,7789244,1,1
0,7789255,1,1
0,7789266,1,1
0,7789302,1,1
0,7790898,1,1
0,7790912,1,1
0,7790923,1,1
0,7791211,1,1
0,7791255,1,1
0,7803498,1,1
0,7803512,1,1
0,7803625,1,1
0,10024972,1,1
0,10025679,1,1
0,10025782,1,1
0,10025873,1,1
0,10026047,1,1
0,10026138,1,1
0,10028156,1,1
0,10034852,1,1
0,10035106,1,1
0,10043115,1,1
0,10043524,1,1
0,10049044,1,1
0,10060114,1,1
0,10097286,1,1
-1,10097322,1,1
0,10097322,1,1
0,10102439,1,1
0,10102440,1,1
0,10294345,1,1
0,10325390,1,1
0,10544500,1,1
0,10544726,1,1
0,10544737,1,1
0,11128248,1,1
0,12032369,1,1
0,12033497,1,1
0,12033566,1,1
0,12033602,1,1
0,12061700,1,1
0,12070154,1,1
0,12075353,1,1
0,12141116,1,1
0,12142777,1,1
0,12164975,1,1
0,12177672,1,1
0,12184804,1,1
0,12185090,1,1
0,12185103,1,1
0,12228396,1,1
0,12251900,1,1
0,12258989,1,1
0,12281366,1,1
0,12326851,1,1
0,12385136,1,1
0,12401864,1,1
0,12504415,1,1
0,12505770,1,1
0,12597034,1,1
0,12597352,1,1
0,12628089,1,1
0,13283313,1,1
0,13444901,1,1
0,13445506,1,1
0,13453526,1,1
0,13465071,1,1
0,13465786,1,1
0,13478201,1,1
0,13478416,1,1
0,13497966,1,1
0,13517118,1,1
0,13536942,1,1
0,13537332,1,1
0,13550497,1,1
0,13569329,1,1
0,13587547,1,1
0,13595818,1,1
0,13595829,1,1
0,13597961,1,1
0,13597972,1,1
0,13598226,1,1
0,13701672,1,1
0,13709836,1,1
0,13765430,1,1
0,13765441,1,1
0,13766262,1,1
0,13766284,1,1
0,13768600,1,1
0,13770224,1,1
0,13770406,1,1
0,13774920,1,1
0,13774942,1,1
0,13776620,1,1
0,13780239,1,1
0,13812436,1,1
0,13814250,1,1
0,13814501,1,1
0,13814658,1,1
0,13817066,1,1
0,13825906,1,1
0,13827322,1,1
0,13840885,1,1
0,13847659,1,1
0,13863417,1,1
0,13863597,1,1
0,13940211,1,1
0,13952846,1,1
0,13965736,1,1
0,13966579,1,1
0,13967061,1,1
0,13967141,1,1
0,13967221,1,1
0,13983205,1,1
0,14034798,1,1
0,14332286,1,1
0,14332537,1,1
0,14333267,1,1
0,14362448,1,1
0,14452596,1,1
0,14452609,1,1
0,14452610,1,1
0,14452643,1,1
0,14452665,1,1
0,14457648,1,1
0,14457659,1,1
0,14457853,1,1
0,14596920,1,1
0,14644452,1,1
0,14762948,1,1
0,14940637,1,1
0,14953287,1,1
0,14989298,1,1
0,14989301,1,1
0,14989323,1,1
0,15117847,1,1
0,15499237,1,1
0,15626434,1,1
0,15892236,1,1
0,16027922,1,1
0,16068965,1,1
0,16529661,1,1
0,16668670,1,1
0,16668681,1,1
0,16681779,1,1
0,16681780,1,1
0,16873179,1,1
0,16955354,1,1
0,17167554,1,1
0,17376099,1,1
0,17739478,1,1
0,17778802,1,1
0,17778880,1,1
0,18936179,1,1
0,19287457,1,1
0,20237347,1,1
0,20583555,1,1
0,20611590,1,1
0,20768687,1,1
0,20901217,1,1
0,22537151,1,1
0,23550450,1,1
0,24304005,1,1
0,25681792,1,1
0,25899507,1,1
0,26294984,1,1
0,29904798,1,1
0,30664121,1,1
0,30830207,1,1
0,30842901,1,1
0,30937383,1,1
0,32752946,1,1
0,37765154,1,1
0,39594917,1,1
0,59660649,1,1
0,59660650,1,1
0,61183537,1,1
0,62957602,1,1
