charge,casno,alpha,squib,state,config
0,50000,1.8690001e+001,1997Oln/Can:59,1,1
0,56235,6.7500000e+001,1997Oln/Can:59,1,1
0,64175,3.4500000e+001,1984Gra/Gub,1,1
0,64186,2.2400000e+001,1984Gra/Gub,1,1
0,67561,2.0790001e+001,1997Oln/Can:59,1,1
0,67641,4.1139999e+001,1997Oln/Can:59,1,1
0,74828,1.6520000e+001,1997Oln/Can:59,1,1
0,74839,3.7858158e+001,1984Gra/Gub,1,1
0,74840,2.8520000e+001,1997Oln/Can:59,1,1
0,74851,2.8260000e+001,1997Oln/Can:59,1,1
0,74862,2.3530001e+001,1997Oln/Can:59,1,1
0,74873,2.9799999e+001,1997Oln/Can:59,1,1
0,74895,2.5330000e+001,1997Oln/Can:59,1,1
0,74986,3.9959999e+001,1997Oln/Can:59,1,1
0,75070,2.8870001e+001,1997Oln/Can:59,1,1
0,75105,2.1594671e+001,1984Gra/Gub,1,1
0,75183,5.0950001e+001,1984Gra/Gub,1,1
0,75194,3.8060608e+001,1984Gra/Gub,1,1
0,75503,4.7750000e+001,1997Oln/Can:59,1,1
0,75694,5.3520000e+001,1997Oln/Can:59,1,1
0,75718,4.2990002e+001,1997Oln/Can:59,1,1
0,75729,3.1990000e+001,1997Oln/Can:59,1,1
0,75730,1.9059999e+001,1997Oln/Can:59,1,1
0,106978,5.1880001e+001,1997Oln/Can:59,1,1
0,109660,6.4639999e+001,1997Oln/Can:59,1,1
0,110543,7.7250000e+001,1997Oln/Can:59,1,1
0,110861,6.4064186e+001,1984Gra/Gub,1,1
0,115106,3.4820000e+001,1984Gra/Gub,1,1
0,124389,1.6920000e+001,1997Oln/Can:59,1,1
0,124403,3.6759998e+001,1997Oln/Can:59,1,1
0,462066,6.8833015e+001,1984Gra/Gub,1,1
0,463490,3.8398026e+001,1984Gra/Gub,1,1
0,593533,1.7139999e+001,1997Oln/Can:59,1,1
0,630080,1.3180000e+001,1997Oln/Can:59,1,1
0,1333740,5.3140001e+000,1997Oln/Can:59,1,1
1,1333740,3.1679599e+000,2000Jac/Kom:012509,1,1
0,7429905,5.6279999e+001,1977Mil/Bed:1,1,1
0,7439932,1.6418698e+002,1977Mil/Bed:1,1,1
0,7439954,7.1532349e+001,1977Mil/Bed:1,1,1
0,7440019,2.5710001e+000,1997Oln/Can:59,1,1
0,7440097,2.9287772e+002,1977Mil/Bed:1,1,1
0,7440213,3.6306042e+001,1977Mil/Bed:1,1,1
0,7440235,1.6270000e+002,1997Oln/Can:59,1,1
0,7440371,1.1230000e+001,1997Oln/Can:59,1,1
0,7440417,3.7790672e+001,1977Mil/Bed:1,1,1
0,7440428,2.0447454e+001,1977Mil/Bed:1,1,1
0,7440440,1.1877069e+001,1977Mil/Bed:1,1,1
0,7440597,1.4069999e+000,1997Oln/Can:59,1,1
0,7440702,1.5386203e+002,1977Mil/Bed:1,1,1
0,7446095,2.1719999e+001,1997Oln/Can:59,1,1
0,7647010,1.6969999e+001,1997Oln/Can:59,1,1
0,7664417,1.4190000e+001,1997Oln/Can:59,1,1
0,7704349,1.9570169e+001,1977Mil/Bed:1,1,1
0,7723140,2.4496454e+001,1977Mil/Bed:1,1,1
0,7727379,1.1540000e+001,1997Oln/Can:59,1,1
0,7732185,1.0130000e+001,1997Oln/Can:59,1,1
0,7782390,5.2849998e+000,1997Oln/Can:59,1,1
0,7782447,1.0540000e+001,1997Oln/Can:59,1,1
0,7783064,2.4500000e+001,1997Oln/Can:59,1,1
0,10024972,2.0230000e+001,1997Oln/Can:59,1,1
0,10097322,2.0582420e+001,1977Mil/Bed:1,1,1
0,10102439,1.1460000e+001,1997Oln/Can:59,1,1
0,10102440,1.9639999e+001,1997Oln/Can:59,1,1
0,12333492,2.6992999e+002,1972Gra/Dag:710,1,1
0,12385136,4.4997420e+000,1977Mill/Bed:1,1,1
0,13983205,5.3360000e+000,1997Oln/Can:59,1,1
0,14762948,3.7588224e+000,1977Mil/Bed:1,1,1
0,17778802,5.4121642e+000,1977Mil/Bed:1,1,1
0,17778880,7.4231682e+000,1977Mil/Bed:1,1,1
0,22537151,1.4711370e+001,1977Mil/Bed:1,1,1
